id,question,difficulty
1,Compute: 3/10 + 2/5,0.92
2,"If you have 8 apples and share them equally among 5 people, how many apples does each person get?",0.8
3,"If you have 3 apples and share them equally among 4 people, how many apples does each person get?",0.45
4,Compute: 1/7 * 9/6,0.57
5,"If you have 7 apples and share them equally among 5 people, how many apples does each person get?",0.14
6,Solve for x: 8x + 9 = 32,0.55
7,Compute: 5/3 * 9/2,0.96
8,Compute: 3/7 * 10/9,0.77
9,"If you have 4 apples and share them equally among 3 people, how many apples does each person get?",0.41
10,What is the area of a square with side length 4 units?,0.12
11,Compute: 7/6 * 9/10,0.55
12,What is 23 / 19?,0.92
13,Solve for x: 5x + 9 = 29,0.59
14,Solve for x: 7x + 5 = 38,0.71
15,What is the area of a square with side length 7 units?,0.77
16,What is the area of a rectangle with sides 2 and 5 units?,0.97
17,Compute: 2/7 - 1/9,0.88
18,What is the area of a square with side length 4 units?,0.73
19,What is the area of a rectangle with sides 10 and 8 units?,0.94
20,What is the area of a square with side length 6 units?,0.75
21,Solve for x: 3x + 3 = 16,0.29
22,Solve for x: 6x + 3 = 27,0.41
23,Solve for x: 10x + 3 = 52,0.62
24,What is 49 + 10?,0.24
25,Compute: 8/9 + 3/3,0.18
26,Compute: 2/8 + 4/4,0.61
27,What is the area of a rectangle with sides 10 and 5 units?,0.53
28,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.13
29,Compute: 9/5 - 9/2,0.29
30,Compute: 7/2 - 9/2,0.88
31,"If you have 6 apples and share them equally among 5 people, how many apples does each person get?",0.62
32,Compute: 8/4 + 5/3,0.17
33,Solve for x: 2x + 3 = 9,0.91
34,What is 26 - 28?,0.38
35,What is 20 - 35?,0.82
36,"If you have 3 apples and share them equally among 5 people, how many apples does each person get?",0.63
37,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.31
38,Compute: 5/5 + 10/9,0.22
39,Compute: 5/5 * 7/7,0.57
40,Compute: 9/10 * 9/8,0.26
41,What is 47 - 19?,0.57
42,What is 46 / 11?,0.95
43,Solve for x: 2x + 2 = 16,0.58
44,"If you have 8 apples and share them equally among 5 people, how many apples does each person get?",0.85
45,"If you have 5 apples and share them equally among 1 people, how many apples does each person get?",0.84
46,Solve for x: 1x + 2 = 11,0.16
47,Compute: 6/10 - 10/6,0.89
48,What is 40 / 50?,0.42
49,What is 3 + 46?,0.45
50,Solve for x: 3x + 4 = 15,0.63
51,"If you have 10 apples and share them equally among 3 people, how many apples does each person get?",0.78
52,What is 49 - 4?,0.57
53,Compute: 8/5 - 5/10,0.33
54,What is the area of a rectangle with sides 4 and 3 units?,0.1
55,"If you have 3 apples and share them equally among 3 people, how many apples does each person get?",0.42
56,What is 24 * 12?,0.8
57,What is the area of a rectangle with sides 3 and 9 units?,0.84
58,What is the area of a square with side length 10 units?,0.83
59,What is the area of a rectangle with sides 2 and 2 units?,0.5
60,"If you have 10 apples and share them equally among 2 people, how many apples does each person get?",0.49
61,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.72
62,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.72
63,What is the area of a square with side length 7 units?,0.15
64,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.57
65,"If you have 10 apples and share them equally among 4 people, how many apples does each person get?",0.5
66,What is 14 / 31?,0.32
67,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.95
68,What is the area of a rectangle with sides 6 and 5 units?,0.37
69,What is the area of a triangle with base 7 units and height 5 units?,0.71
70,Compute: 6/7 + 3/8,0.86
71,Compute: 6/9 - 10/6,0.68
72,What is the area of a rectangle with sides 2 and 3 units?,0.62
73,What is 3 / 42?,0.13
74,Solve for x: 6x + 8 = 24,0.18
75,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.37
76,"If you have 8 apples and share them equally among 5 people, how many apples does each person get?",0.95
77,What is the area of a square with side length 8 units?,0.72
78,Solve for x: 6x + 5 = 27,0.48
79,"If you have 6 apples and share them equally among 2 people, how many apples does each person get?",1
80,What is the area of a triangle with base 8 units and height 3 units?,0.5
81,"If you have 4 apples and share them equally among 3 people, how many apples does each person get?",0.46
82,Compute: 10/2 - 1/8,0.85
83,What is 24 / 31?,0.37
84,What is the area of a triangle with base 7 units and height 3 units?,0.6
85,What is 9 + 36?,0.46
86,Solve for x: 5x + 7 = 15,0.84
87,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.25
88,What is 30 - 13?,0.86
89,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.83
90,What is 43 / 14?,0.85
91,What is 25 + 41?,0.54
92,Compute: 1/9 - 9/9,0.78
93,Solve for x: 5x + 4 = 26,0.79
94,Solve for x: 10x + 6 = 50,0.58
95,What is 39 + 23?,0.6
96,Compute: 3/8 - 6/9,0.67
97,Solve for x: 9x + 7 = 46,0.3
98,What is 22 / 34?,0.71
99,Compute: 8/8 * 9/6,0.26
100,Solve for x: 6x + 3 = 32,0.27
101,Solve for x: 7x + 1 = 34,0.87
102,Solve for x: 2x + 1 = 12,0.12
103,Compute: 7/9 - 6/4,0.18
104,"If you have 7 apples and share them equally among 4 people, how many apples does each person get?",0.75
105,Compute: 9/5 * 1/6,1
106,"If you have 5 apples and share them equally among 1 people, how many apples does each person get?",0.37
107,"If you have 4 apples and share them equally among 5 people, how many apples does each person get?",0.39
108,"If you have 9 apples and share them equally among 4 people, how many apples does each person get?",0.75
109,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.94
110,What is the area of a square with side length 2 units?,0.35
111,What is the area of a rectangle with sides 10 and 2 units?,0.93
112,What is the area of a triangle with base 3 units and height 8 units?,0.29
113,Solve for x: 2x + 7 = 11,0.45
114,"If you have 4 apples and share them equally among 4 people, how many apples does each person get?",0.19
115,What is the area of a square with side length 5 units?,0.26
116,Compute: 5/6 - 5/6,0.64
117,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.34
118,"If you have 7 apples and share them equally among 5 people, how many apples does each person get?",0.48
119,Solve for x: 10x + 9 = 46,0.82
120,Compute: 9/3 * 9/2,0.88
121,Solve for x: 1x + 10 = 11,0.96
122,"If you have 8 apples and share them equally among 3 people, how many apples does each person get?",0.3
123,"If you have 6 apples and share them equally among 2 people, how many apples does each person get?",0.17
124,What is 13 - 34?,0.83
125,"If you have 8 apples and share them equally among 4 people, how many apples does each person get?",0.9
126,Solve for x: 7x + 6 = 29,0.93
127,What is 37 + 22?,0.14
128,Solve for x: 6x + 6 = 34,0.44
129,Solve for x: 1x + 1 = 13,0.58
130,Compute: 3/3 + 4/10,0.59
131,Solve for x: 7x + 9 = 31,0.91
132,What is the area of a rectangle with sides 10 and 10 units?,0.42
133,"If you have 4 apples and share them equally among 2 people, how many apples does each person get?",0.63
134,"If you have 4 apples and share them equally among 5 people, how many apples does each person get?",0.86
135,"If you have 10 apples and share them equally among 3 people, how many apples does each person get?",0.45
136,"If you have 5 apples and share them equally among 4 people, how many apples does each person get?",0.54
137,Solve for x: 7x + 2 = 31,0.8
138,What is the area of a rectangle with sides 3 and 2 units?,0.36
139,What is the area of a triangle with base 4 units and height 2 units?,0.17
140,Solve for x: 3x + 6 = 18,0.91
141,What is 13 / 1?,0.77
142,Compute: 4/9 - 6/4,0.98
143,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.23
144,What is the area of a rectangle with sides 10 and 8 units?,0.62
145,Solve for x: 9x + 8 = 23,0.11
146,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.18
147,What is the area of a square with side length 10 units?,0.88
148,Compute: 4/9 + 10/6,0.86
149,Solve for x: 3x + 7 = 14,0.33
150,What is 36 - 5?,0.68
151,"If you have 3 apples and share them equally among 3 people, how many apples does each person get?",0.61
152,Solve for x: 2x + 4 = 7,0.38
153,Compute: 7/5 + 10/5,0.72
154,Solve for x: 5x + 10 = 30,0.98
155,Solve for x: 6x + 4 = 40,0.26
156,Solve for x: 5x + 8 = 29,0.69
157,What is 2 - 37?,0.6
158,What is 19 + 8?,0.24
159,Solve for x: 7x + 5 = 32,0.27
160,Compute: 8/10 - 5/3,0.68
161,"If you have 9 apples and share them equally among 4 people, how many apples does each person get?",0.16
162,Solve for x: 8x + 5 = 34,0.99
163,Solve for x: 7x + 5 = 25,0.86
164,Compute: 3/9 * 5/7,0.48
165,Compute: 5/2 * 9/9,0.33
166,Compute: 10/9 * 3/4,0.15
167,"If you have 9 apples and share them equally among 2 people, how many apples does each person get?",0.19
168,What is 9 - 46?,0.27
169,Compute: 6/5 - 6/6,0.4
170,Compute: 4/10 - 2/2,0.42
171,Solve for x: 6x + 10 = 38,0.47
172,Solve for x: 3x + 2 = 16,0.39
173,Compute: 6/7 - 10/7,0.16
174,What is 43 / 48?,0.42
175,Compute: 3/8 * 5/2,0.7
176,What is the area of a triangle with base 5 units and height 10 units?,0.49
177,"If you have 9 apples and share them equally among 3 people, how many apples does each person get?",0.34
178,"If you have 8 apples and share them equally among 2 people, how many apples does each person get?",0.77
179,Compute: 4/4 - 9/10,0.56
180,Solve for x: 4x + 10 = 22,0.94
181,Solve for x: 8x + 10 = 37,0.97
182,What is the area of a square with side length 10 units?,0.42
183,Solve for x: 4x + 9 = 28,0.24
184,Solve for x: 1x + 1 = 13,0.75
185,"If you have 6 apples and share them equally among 5 people, how many apples does each person get?",0.37
186,"If you have 7 apples and share them equally among 2 people, how many apples does each person get?",0.12
187,Compute: 4/5 - 8/2,0.8
188,Compute: 1/3 * 4/3,0.35
189,Compute: 6/7 - 8/2,0.39
190,Compute: 1/2 - 9/4,0.31
191,Solve for x: 3x + 3 = 22,0.74
192,What is the area of a triangle with base 2 units and height 5 units?,0.55
193,What is the area of a triangle with base 9 units and height 9 units?,0.51
194,What is 19 - 20?,0.45
195,Compute: 5/6 - 1/5,0.51
196,Solve for x: 3x + 3 = 16,0.58
197,Compute: 10/6 + 7/5,0.55
198,Compute: 3/2 + 10/9,0.8
199,What is 34 + 9?,0.72
200,Compute: 3/9 - 6/6,0.25
201,"If you have 8 apples and share them equally among 4 people, how many apples does each person get?",0.79
202,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.77
203,Solve for x: 5x + 8 = 18,0.85
204,What is 35 + 1?,0.98
205,What is 2 + 10?,0.51
206,What is the area of a square with side length 4 units?,0.61
207,What is 44 / 20?,0.62
208,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.37
209,What is 45 + 32?,0.61
210,What is 15 / 37?,0.55
211,"If you have 5 apples and share them equally among 1 people, how many apples does each person get?",0.58
212,Compute: 8/3 - 6/10,0.95
213,What is the area of a square with side length 5 units?,0.32
214,Compute: 5/2 + 6/8,0.88
215,What is the area of a triangle with base 5 units and height 9 units?,0.23
216,Solve for x: 9x + 2 = 49,0.22
217,What is the area of a triangle with base 10 units and height 3 units?,0.38
218,What is the area of a triangle with base 10 units and height 9 units?,0.2
219,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.52
220,What is 18 * 1?,0.52
221,Solve for x: 1x + 9 = 10,0.54
222,What is the area of a triangle with base 10 units and height 7 units?,0.44
223,What is the area of a triangle with base 4 units and height 10 units?,0.99
224,Compute: 3/7 * 7/10,1
225,Solve for x: 2x + 2 = 12,0.64
226,"If you have 9 apples and share them equally among 2 people, how many apples does each person get?",0.57
227,Compute: 3/7 + 5/8,0.47
228,What is 6 * 43?,0.54
229,"If you have 9 apples and share them equally among 4 people, how many apples does each person get?",0.19
230,Compute: 10/10 + 3/9,0.36
231,Solve for x: 1x + 9 = 7,0.69
232,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.37
233,What is the area of a square with side length 6 units?,0.31
234,Solve for x: 9x + 2 = 21,0.89
235,Solve for x: 5x + 4 = 26,0.54
236,"If you have 5 apples and share them equally among 5 people, how many apples does each person get?",0.15
237,Compute: 10/6 + 6/10,0.68
238,What is the area of a rectangle with sides 8 and 6 units?,0.28
239,What is 18 - 27?,0.38
240,Solve for x: 7x + 6 = 22,0.61
241,Solve for x: 6x + 2 = 19,0.23
242,Solve for x: 7x + 4 = 21,0.21
243,Solve for x: 3x + 1 = 15,0.24
244,Compute: 1/2 * 6/2,0.4
245,"If you have 3 apples and share them equally among 3 people, how many apples does each person get?",0.88
246,What is the area of a rectangle with sides 7 and 2 units?,0.21
247,What is the area of a rectangle with sides 3 and 7 units?,0.36
248,What is 18 * 9?,0.72
249,Compute: 8/7 * 4/10,0.53
250,Compute: 3/9 + 3/9,0.84
251,What is 20 / 25?,0.58
252,Solve for x: 1x + 2 = 6,0.32
253,What is the area of a triangle with base 8 units and height 8 units?,0.59
254,What is 18 + 34?,0.79
255,"If you have 6 apples and share them equally among 2 people, how many apples does each person get?",0.68
256,What is the area of a square with side length 6 units?,0.44
257,Solve for x: 4x + 2 = 17,0.9
258,What is the area of a square with side length 6 units?,0.18
259,"If you have 4 apples and share them equally among 3 people, how many apples does each person get?",0.36
260,Solve for x: 1x + 2 = 8,0.23
261,What is 9 / 27?,0.13
262,What is the area of a rectangle with sides 4 and 8 units?,0.17
263,"If you have 3 apples and share them equally among 5 people, how many apples does each person get?",0.77
264,What is the area of a rectangle with sides 7 and 9 units?,0.97
265,What is 49 / 24?,0.54
266,What is 2 / 11?,0.52
267,What is the area of a square with side length 9 units?,0.47
268,What is the area of a triangle with base 9 units and height 6 units?,0.91
269,Solve for x: 4x + 7 = 17,0.35
270,Compute: 6/4 * 10/3,0.52
271,Solve for x: 3x + 6 = 14,0.37
272,"If you have 5 apples and share them equally among 3 people, how many apples does each person get?",0.17
273,"If you have 10 apples and share them equally among 5 people, how many apples does each person get?",0.64
274,Solve for x: 5x + 4 = 31,0.91
275,Solve for x: 5x + 9 = 18,0.99
276,Compute: 6/10 - 7/8,0.82
277,"If you have 6 apples and share them equally among 5 people, how many apples does each person get?",0.2
278,What is 32 - 3?,0.28
279,What is 41 * 1?,0.33
280,"If you have 3 apples and share them equally among 5 people, how many apples does each person get?",0.61
281,What is the area of a triangle with base 8 units and height 10 units?,0.2
282,"If you have 8 apples and share them equally among 3 people, how many apples does each person get?",0.76
283,Compute: 3/4 + 9/9,0.51
284,What is 9 + 22?,0.82
285,"If you have 9 apples and share them equally among 4 people, how many apples does each person get?",0.69
286,Solve for x: 1x + 3 = 8,0.96
287,What is 39 - 27?,0.23
288,Solve for x: 5x + 9 = 13,0.89
289,Compute: 10/4 + 9/8,0.35
290,Solve for x: 10x + 8 = 22,0.75
291,Compute: 7/10 * 6/2,0.92
292,Compute: 9/5 * 5/6,0.78
293,What is the area of a triangle with base 2 units and height 4 units?,0.31
294,Compute: 6/3 + 4/7,0.53
295,What is 13 * 50?,0.42
296,Compute: 7/8 + 10/7,0.95
297,"If you have 3 apples and share them equally among 4 people, how many apples does each person get?",0.81
298,Compute: 4/4 + 5/4,0.96
299,"If you have 10 apples and share them equally among 5 people, how many apples does each person get?",0.45
300,What is 29 * 27?,0.46
301,Compute: 6/2 + 8/10,0.15
302,Compute: 6/8 * 3/3,0.7
303,What is 12 * 26?,0.56
304,Compute: 8/8 - 1/5,0.23
305,Solve for x: 6x + 1 = 27,0.19
306,What is 6 - 45?,0.24
307,What is the area of a square with side length 3 units?,0.33
308,"If you have 6 apples and share them equally among 3 people, how many apples does each person get?",0.18
309,Solve for x: 1x + 7 = 6,0.85
310,What is 9 + 21?,0.52
311,What is 41 + 40?,0.86
312,Compute: 5/3 - 2/6,0.73
313,What is 12 / 19?,0.92
314,Solve for x: 2x + 1 = 15,0.59
315,What is 25 - 14?,0.23
316,Compute: 9/8 + 7/2,0.93
317,Compute: 10/5 + 5/7,0.39
318,Solve for x: 4x + 8 = 22,0.17
319,Solve for x: 3x + 10 = 12,0.97
320,Compute: 5/7 - 1/2,0.43
321,Solve for x: 7x + 6 = 24,0.99
322,Compute: 10/6 + 10/3,0.72
323,What is 44 * 50?,0.56
324,"If you have 6 apples and share them equally among 2 people, how many apples does each person get?",0.77
325,Compute: 2/5 - 10/6,0.36
326,What is the area of a rectangle with sides 9 and 5 units?,0.86
327,What is 13 / 10?,0.53
328,What is 42 * 45?,0.41
329,What is 28 / 29?,0.53
330,Solve for x: 3x + 4 = 15,0.19
331,Compute: 6/10 + 4/5,0.74
332,What is the area of a rectangle with sides 8 and 3 units?,0.27
333,What is the area of a triangle with base 2 units and height 7 units?,0.64
334,Solve for x: 3x + 6 = 25,0.4
335,Solve for x: 6x + 4 = 33,0.2
336,What is the area of a rectangle with sides 7 and 7 units?,0.76
337,Compute: 1/10 - 1/9,0.85
338,Compute: 10/10 + 4/4,0.3
339,Solve for x: 2x + 2 = 13,0.9
340,"If you have 3 apples and share them equally among 5 people, how many apples does each person get?",0.5
341,Solve for x: 1x + 2 = 4,0.98
342,"If you have 4 apples and share them equally among 5 people, how many apples does each person get?",0.78
343,Compute: 3/5 - 8/7,0.7
344,Compute: 6/8 + 9/7,0.95
345,What is the area of a square with side length 5 units?,0.71
346,What is the area of a square with side length 10 units?,0.69
347,Solve for x: 7x + 4 = 25,0.16
348,What is the area of a square with side length 2 units?,0.31
349,Compute: 5/4 + 10/2,0.19
350,What is the area of a triangle with base 8 units and height 3 units?,0.27
351,What is the area of a rectangle with sides 8 and 9 units?,0.58
352,Solve for x: 3x + 7 = 13,0.51
353,Compute: 4/3 - 7/2,0.91
354,Compute: 9/6 + 4/2,0.3
355,Solve for x: 4x + 2 = 20,0.35
356,What is the area of a rectangle with sides 6 and 9 units?,0.11
357,Compute: 3/7 * 9/6,0.54
358,Solve for x: 4x + 6 = 18,0.15
359,"If you have 3 apples and share them equally among 2 people, how many apples does each person get?",0.32
360,What is the area of a square with side length 5 units?,0.95
361,What is the area of a rectangle with sides 9 and 7 units?,0.43
362,"If you have 4 apples and share them equally among 2 people, how many apples does each person get?",0.11
363,What is 22 / 9?,0.78
364,Solve for x: 5x + 3 = 22,0.67
365,Solve for x: 3x + 2 = 14,0.96
366,Compute: 1/4 * 3/3,0.64
367,What is the area of a square with side length 8 units?,0.5
368,"If you have 5 apples and share them equally among 2 people, how many apples does each person get?",0.34
369,What is 42 + 39?,0.81
370,Compute: 1/9 - 10/2,0.52
371,Compute: 8/6 + 7/6,0.72
372,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.16
373,Compute: 9/10 * 2/10,0.49
374,"If you have 6 apples and share them equally among 4 people, how many apples does each person get?",0.57
375,What is 17 - 30?,0.91
376,Solve for x: 9x + 1 = 27,0.89
377,What is 32 * 17?,0.55
378,Solve for x: 4x + 5 = 22,0.36
379,Solve for x: 6x + 9 = 26,0.63
380,Solve for x: 2x + 1 = 10,0.27
381,What is 48 / 13?,0.9
382,What is 7 * 4?,0.98
383,Compute: 8/2 - 8/2,0.62
384,What is the area of a square with side length 4 units?,0.12
385,Compute: 4/6 + 7/4,0.71
386,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.35
387,Solve for x: 10x + 1 = 59,0.55
388,What is the area of a triangle with base 8 units and height 3 units?,0.48
389,Compute: 4/7 - 2/9,0.68
390,Compute: 8/2 * 10/4,0.39
391,What is 50 / 41?,0.6
392,What is the area of a square with side length 4 units?,0.4
393,Compute: 9/10 + 9/9,0.81
394,Solve for x: 1x + 4 = 12,0.25
395,What is 47 + 14?,0.41
396,Solve for x: 1x + 6 = 11,0.62
397,What is the area of a triangle with base 3 units and height 5 units?,0.2
398,What is 31 / 12?,0.21
399,Compute: 9/10 + 9/2,0.58
400,Solve for x: 5x + 8 = 26,0.26
401,What is 35 - 37?,0.57
402,What is 17 - 44?,0.64
403,What is the area of a triangle with base 2 units and height 9 units?,0.42
404,Compute: 5/8 * 1/8,0.19
405,Compute: 7/10 - 5/3,0.7
406,Solve for x: 3x + 9 = 20,0.18
407,Compute: 9/7 * 4/5,0.58
408,What is the area of a rectangle with sides 9 and 9 units?,0.78
409,What is 36 * 21?,0.98
410,What is the area of a triangle with base 6 units and height 7 units?,0.42
411,Compute: 2/9 * 6/3,0.12
412,"If you have 6 apples and share them equally among 2 people, how many apples does each person get?",0.4
413,What is the area of a square with side length 3 units?,0.78
414,What is 45 + 38?,0.81
415,Solve for x: 1x + 7 = 8,0.91
416,Solve for x: 8x + 6 = 18,0.65
417,What is the area of a square with side length 6 units?,0.44
418,Solve for x: 6x + 9 = 22,0.68
419,Solve for x: 8x + 9 = 29,0.89
420,"If you have 7 apples and share them equally among 4 people, how many apples does each person get?",0.78
421,Solve for x: 3x + 3 = 22,0.46
422,Compute: 1/5 * 2/2,0.71
423,Compute: 5/4 + 3/4,0.31
424,What is the area of a square with side length 3 units?,0.65
425,Compute: 4/2 * 6/8,0.84
426,"If you have 9 apples and share them equally among 2 people, how many apples does each person get?",0.49
427,What is the area of a rectangle with sides 5 and 2 units?,0.72
428,What is 12 - 12?,0.89
429,What is 42 - 46?,0.8
430,What is 32 / 36?,0.65
431,"If you have 9 apples and share them equally among 2 people, how many apples does each person get?",0.9
432,Compute: 1/10 * 4/7,0.42
433,"If you have 7 apples and share them equally among 1 people, how many apples does each person get?",0.5
434,Solve for x: 3x + 8 = 16,0.51
435,What is 31 + 24?,0.39
436,What is the area of a triangle with base 6 units and height 9 units?,0.61
437,What is the area of a rectangle with sides 5 and 7 units?,0.3
438,Solve for x: 5x + 8 = 11,0.24
439,Solve for x: 1x + 7 = 8,0.56
440,What is the area of a square with side length 6 units?,0.26
441,What is 34 + 3?,0.56
442,Solve for x: 1x + 6 = 9,0.34
443,What is the area of a square with side length 8 units?,0.69
444,Compute: 9/4 + 10/7,0.73
445,"If you have 4 apples and share them equally among 4 people, how many apples does each person get?",0.31
446,What is the area of a rectangle with sides 6 and 6 units?,0.8
447,What is the area of a square with side length 10 units?,0.1
448,What is the area of a triangle with base 8 units and height 5 units?,0.76
449,"If you have 6 apples and share them equally among 1 people, how many apples does each person get?",0.93
450,"If you have 8 apples and share them equally among 1 people, how many apples does each person get?",0.59
451,What is 47 + 1?,0.49
452,"If you have 3 apples and share them equally among 3 people, how many apples does each person get?",0.57
453,Compute: 7/7 - 3/7,0.5
454,What is the area of a square with side length 2 units?,1
455,Compute: 1/6 * 10/2,0.43
456,Compute: 7/10 - 7/2,0.73
457,"If you have 4 apples and share them equally among 5 people, how many apples does each person get?",0.11
458,Solve for x: 9x + 5 = 22,0.61
459,What is the area of a square with side length 2 units?,0.45
460,What is 24 * 44?,0.17
461,"If you have 6 apples and share them equally among 3 people, how many apples does each person get?",0.4
462,"If you have 7 apples and share them equally among 3 people, how many apples does each person get?",0.79
463,What is the area of a rectangle with sides 9 and 8 units?,0.29
464,What is 48 - 47?,0.58
465,What is the area of a square with side length 9 units?,0.2
466,Solve for x: 2x + 1 = 19,0.65
467,What is the area of a rectangle with sides 2 and 3 units?,0.31
468,Compute: 10/3 + 9/6,0.13
469,What is 29 / 3?,0.39
470,What is the area of a triangle with base 7 units and height 10 units?,0.96
471,What is 45 - 24?,0.38
472,What is the area of a triangle with base 6 units and height 9 units?,0.8
473,Compute: 4/3 * 3/4,0.6
474,What is 39 + 13?,0.54
475,What is the area of a triangle with base 4 units and height 10 units?,0.9
476,What is the area of a square with side length 10 units?,0.74
477,Solve for x: 5x + 7 = 19,0.74
478,What is the area of a rectangle with sides 2 and 9 units?,0.78
479,Compute: 3/2 * 6/2,0.24
480,Solve for x: 9x + 8 = 33,0.98
481,Compute: 4/7 - 10/6,0.77
482,Compute: 10/6 - 10/8,0.65
483,What is 15 - 20?,0.27
484,"If you have 3 apples and share them equally among 4 people, how many apples does each person get?",0.72
485,What is 10 + 17?,0.56
486,What is the area of a triangle with base 6 units and height 8 units?,0.63
487,Compute: 1/7 - 4/6,0.16
488,"If you have 6 apples and share them equally among 4 people, how many apples does each person get?",0.34
489,What is 41 + 17?,0.1
490,What is the area of a rectangle with sides 7 and 5 units?,0.52
491,What is the area of a rectangle with sides 8 and 9 units?,0.83
492,What is 35 - 29?,0.34
493,Compute: 7/5 * 9/7,0.12
494,What is the area of a rectangle with sides 3 and 6 units?,0.78
495,What is the area of a rectangle with sides 3 and 10 units?,0.39
496,Compute: 8/6 - 3/4,0.63
497,Solve for x: 7x + 5 = 33,0.93
498,What is the area of a rectangle with sides 3 and 8 units?,0.23
499,What is the area of a triangle with base 6 units and height 5 units?,0.11
500,Solve for x: 3x + 8 = 18,0.96
